"id","facility_name","home_care","facility_type_id","postal_code","prefecture_name","city_name","address","latitude","longitude","telphone","fax","representative","homepage","available_time_mon","available_time_tue","available_time_wed","available_time_thu","available_time_fri","available_time_sat","available_time_sun","person","correspondence_dept","correspondence_time","open_24hours","foreign_language","related_facilities","options","note","publish","user_id","created_at","updated_at"
"11","豊見城中央病院","0","19","9010243","沖縄県","豊見城市","上田25番地","26.175905","127.676090","098-850-3811","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"12","沖縄メディカル病院","1","1","9011414","沖縄県","南城市","佐敷字津波古西原2310番地","26.186756","127.775398","098-947-3555","098-947-3335","大山　朝賢","","","","14：00～17：00","","14：00～17：00","","","與座基子","地域連携室","","0","0","介護老人保健施設「真徳苑」、デイサービス、通所リハビリテーション、訪問看護ステーション、居宅介護支援事業所","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"13","与那原中央病院","0","19","9011303","沖縄県","島尻郡与那原町","字与那原2905番地","26.202782","127.748554","098-945-8101","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"14","嬉野が丘サマリヤ人病院","0","19","9011105","沖縄県","島尻郡南風原町","新川460番地","26.210300","127.728181","098-889-1328","098-889-0868","山城　義広","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"15","沖縄県立精和病院","0","19","9011105","沖縄県","島尻郡南風原町","新川260","26.207267","127.727750","098-889-1390","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"16","久田病院","0","19","9011101","沖縄県","島尻郡南風原町","大名275番地","26.209781","127.731658","098-889-3206","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"17","博愛病院","0","19","9011105","沖縄県","島尻郡南風原町","新川485-1","26.211356","127.728011","098-889-4830","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"18","沖縄第一病院","1","1","9011111","沖縄県","島尻郡南風原町","兼城642-1","26.194913","127.725976","098-888-1151","","","","","","","14：00～17：00","","","","","訪問看護","","0","0","居宅介護支援、介護予防支援、訪問介護、訪問看護、訪問リハビリテーション、デイサービス、デイケア、介護保健施設「信和苑」","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"19","南部徳洲会病院","1","19","9010493","沖縄県","島尻郡八重瀬町","字外間171-1","26.178387","127.715626","098-998-3221","","","","14：00～17：00","","14：00～17：00","14：00～17：00","14：00～17：00","","","","受付","","0","0","居宅介護支援、介護予防支援、訪問介護、デイサービス、デイケア、訪問リハビリテーション","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"20","兼島医院","0","20","9010361","沖縄県","糸満市","糸満１５０５－２","26.125734","127.674175","098-992-4850","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"21","安里眼科","0","20","9010302","沖縄県","糸満市","潮平７２２","26.146269","127.673041","098-994-1882","098-992-3131","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"22","かみや母と子のクリニック","0","20","9010301","沖縄県","糸満市","阿波根１５５２－２","26.151588","127.672600","098-995-3511","098-995-2877","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"23","健孝クリニック","0","20","9010302","沖縄県","糸満市","潮平７１４－２","26.146321","127.672736","098-994-1177","098-994-1055","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"24","新垣小児科医院","0","20","9010302","沖縄県","糸満市","潮平７０８－２１","26.146066","127.671541","098-992-4050","098-994-0246","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"25","くでけん小児科","0","20","9010305","沖縄県","糸満市","西崎６－１１－８","26.143616","127.669128","098-994-2099","098-994-2099","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"26","南部整形外科","0","20","9010302","沖縄県","糸満市","潮平７１４－２","26.146321","127.672736","098-994-1155","098-994-1155","大城　武","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"27","ひめゆりクリニック","0","20","9010344","沖縄県","糸満市","伊原１０７－１","26.094737","127.684739","098-997-3702","098-997-3703","玉城　利昭","","","","","","","","","當山","事務","","0","0","","","今後、訪問診療を行うことを検討中","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"28","かみやクリニック","0","20","9010301","沖縄県","糸満市","阿波根１５５２－２","26.151588","127.672600","098-995-3377","098-995-3377","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"29","耳鼻咽喉科　かおる医院","0","20","9010302","沖縄県","糸満市","潮平７０５－４","26.145519","127.672086","098-994-1133","098-994-1194","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"30","てるや眼科クリニック","0","20","9010361","沖縄県","糸満市","糸満１２６６－１","26.125920","127.669917","098-992-0800","098-992-0801","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"31","ａｍ皮膚科クリニック","0","20","9010302","沖縄県","糸満市","潮平７８７－５","26.150821","127.671327","098-995-1212","098-995-1713","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"32","豆の木クリニック","0","20","9010302","沖縄県","糸満市","潮平７６４－１","26.149338","127.671622","098-995-3030","098-995-3131","吉原　邦男","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"33","みなみしまクリニック","0","20","9010302","沖縄県","糸満市","潮平７８７－1７","26.150971","127.671433","098-840-3730","098-840-3731","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"34","たまき耳鼻咽喉科クリニック","0","20","9010362","沖縄県","糸満市","真栄里１４３２－１","26.120857","127.671470","098-995-3387","098-995-3397","玉城三七夫","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"35","きのしたこどもクリニック","0","20","9010362","沖縄県","糸満市","真栄里２０３０－３","26.121371","127.669867","098-995-1100","098-995-1001","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"36","みんなのクリニック","0","20","9010362","沖縄県","糸満市","真栄里２０２９－１１","26.121168","127.670625","098-840-3733","098-840-3735","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"37","よしかわ整形クリニック","0","20","9010362","沖縄県","糸満市","真栄里２０３１－４","26.121148","127.670231","098-995-2525","098-995-2211","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"38","ハートフルクリニック","0","20","9010311","沖縄県","糸満市","武富１６９－２","26.165499","127.693335","098-994-7436","098-994-7436","平良　茂","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"39","いしかわ眼科クリニック","0","20","9010242","沖縄県","豊見城市","高安３１７－１","26.175223","127.686160","098-851-2200","098-851-2201","石川　晃子","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"40","かでな内科医院","1","1","9010241","沖縄県","豊見城市","豊見城７５３－２","26.183074","127.682473","098-850-5266","098-840-2524","嘉手納成之","","午後","午後","午後","","午後","","","","","","0","0","","","かかりつけ患者臨時往診に対応している（電話にて時間調整を行う）","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"41","垣花整形外科医院","0","20","9010241","沖縄県","豊見城市","豊見城１００７－３０","26.189143","127.681009","098-850-4160","098-856-2549","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"42","ながみね小児科","0","20","9010212","沖縄県","豊見城市","平良１０９－１","26.168751","127.693834","098-856-7300","098-856-7301","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"43","おなが眼科医院","0","20","9010241","沖縄県","豊見城市","豊見城４３７－２","26.182424","127.678695","098-850-6165","098-850-6165","翁長　春彦","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"44","とよみクリニック","0","20","9010201","沖縄県","豊見城市","真玉橋１２３","26.194135","127.695585","098-856-5700","098-856-5700","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"45","豊見城医院","0","20","9010235","沖縄県","豊見城市","名嘉地１１２－１","26.177379","127.665469","098-850-2050","098-850-1041","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"46","しいな整形外科","0","20","9010242","沖縄県","豊見城市","高安３１７－１","26.175223","127.686160","098-850-0417","098-850-4171","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"47","しろま小児科医院","0","20","9010241","沖縄県","豊見城市","豊見城２９４－２","26.184174","127.676029","098-856-8811","098-856-8949","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"48","豊見城中央病院付属豊崎クリニック","0","19","9010225","沖縄県","豊見城市","豊崎１－４１２","26.160356","127.660200","098-840-5151","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"49","空と海とクリニック","0","20","9010244","沖縄県","豊見城市","宜保３７０","26.178771","127.675965","098-840-2000","098-850-8033","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"50","なかまクリニック","0","20","9010241","沖縄県","豊見城市","豊見城３７２－１","26.182863","127.675296","098-891-6424","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"51","なかそね整形外科リハビリクリニック","0","20","9010241","沖縄県","豊見城市","豊見城４４４－２","26.182963","127.677473","098-851-0255","098-851-0256","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"52","ゆたか泌尿器科","0","20","9010244","沖縄県","豊見城市","宜保２８２－３","26.176480","127.674946","098-851-1145","098-851-0045","山城　豊","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"53","田仲医院","0","20","9010244","沖縄県","豊見城市","宜保１９０","26.177627","127.677751","098-850-7474","098-850-6363","田仲　秀明","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"54","とくとくクリニック","0","20","9010241","沖縄県","豊見城市","豊見城４４４－２","26.182963","127.677473","098-851-0277","098-851-0278","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"55","高橋クリニック","0","20","9010224","沖縄県","豊見城市","与根８－１５","26.173043","127.657583","098-851-1971","098-851-2462","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"56","上地歯科・耳鼻咽喉科","0","21","9010231","沖縄県","豊見城市","我那覇４７６－１","26.176649","127.674535","098-850-8787","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"57","うえず内科クリニック","0","20","9010244","沖縄県","豊見城市","宜保３１０－１３","26.178135","127.675849","098-891-6688","098-891-6677","上江州良尚","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"58","豊見城中央病院付属健康管理センター","0","19","9010225","沖縄県","豊見城市","豊崎３－４９","26.160047","127.652283","098-852-2000","098-850-5381","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"59","渡名喜眼科","0","20","9010235","沖縄県","豊見城市","名嘉地２２０－４","26.174127","127.663785","098-891-6234","098-891-6235","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"60","朋友クリニック","0","20","9010243","沖縄県","豊見城市","上田１－１７","26.175733","127.680360","098-840-2288","098-840-2277","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"61","松岡医院","0","20","9010213","沖縄県","豊見城市","字高嶺３９５－５６","26.167226","127.696787","098-850-7977","098-850-0004","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"62","伊佐内科クリニック","0","20","9010201","沖縄県","豊見城市","字真玉橋２８５－１　とよみメディカルビル４Ｆ","26.190135","127.689996","098-851-8828","098-851-8282","伊佐　勝憲","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"63","愛ホームクリニック","0","20","9010243","沖縄県","豊見城市","字上田５６５","26.175219","127.680743","050-1494-1913","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"64","とよみ眼科","0","20","9010201","沖縄県","豊見城市","字真玉橋２８５－１","26.190165","127.690036","098-987-4004","098-987-4084","今泉　綾子","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"65","さくもと泌尿器科・皮フ科","0","20","9010241","沖縄県","豊見城市","豊見城５４８－１","26.180083","127.680909","098-851-0022","098-851-0023","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"66","ぐしこどもクリニック","0","20","9010244","沖縄県","豊見城市","字宜保２９１","26.177061","127.675582","098-850-3102","098-851-9105","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"67","かかず耳鼻咽喉科クリニック","0","20","9010201","沖縄県","豊見城市","字真玉橋２８５－１","26.190165","127.690036","098-856-3317","098-856-3322","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"68","みなみ耳鼻咽喉科医院","0","20","9011206","沖縄県","南城市","大里仲間１１１２－５","26.174954","127.747473","098-946-7033","098-946-1159","江夏　努","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"69","沖縄県立南部医療センター・こども医療センター付属久高診療所","0","23","9011501","沖縄県","南城市","知念字久高２３１－２","26.156040","127.887373","098-948-1319","098-948-1319","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"70","みなみ野クリニック","0","20","9011208","沖縄県","南城市","大里字平良２５８４－２","26.180534","127.747928","098-945-8811","098-945-8558","外間康男","http://minamino.clinic.com","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"71","大里こどもクリニック","0","20","9011208","沖縄県","南城市","大里字平良２５４５－１","26.178093","127.747737","098-882-8111","098-882-0077","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"72","南城眼科","0","20","9010615","沖縄県","南城市","玉城堀川６９５－１","26.129872","127.762481","098-949-1680","098-949-1681","森山無価","www.nanjoganka.jp","","","","","","","","河野豊","事務長","","0","0","","","今後、訪問診療を行う予定：検討中","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"73","平田内科医院","0","20","9011204","沖縄県","南城市","大里稲嶺１９９５","26.169674","127.740940","098-946-8008","098-946-8860","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"74","ふじた眼科","0","20","9011414","沖縄県","南城市","佐敷字津波古２４９","26.183801","127.772748","098-943-8700","098-943-8701","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"75","ゆかる医院","0","20","9011505","沖縄県","南城市","知念字久原６９３　","26.187000","127.807338","098-947-3331","098-947-3338","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"76","野原整形外科","0","20","9011302","沖縄県","島尻郡与那原町","上与那原３４１－２","26.200152","127.751818","098-946-1010","098-946-1020","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"77","知念耳鼻咽喉科","0","20","9011302","沖縄県","島尻郡与那原町","上与那原３３５－１","26.199938","127.751915","098-945-3987","098-945-0437","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"78","又吉皮フ科","0","20","9011303","沖縄県","島尻郡与那原町","与那原１０２１","26.207982","127.757978","098-944-2525","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"79","あおぞら小児科","0","20","9011302","沖縄県","島尻郡与那原町","上与那原３４０－１","26.200332","127.752107","098-946-1961","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"80","ながみね内科","0","20","9011303","沖縄県","島尻郡与那原町","与那原１１２１","26.210543","127.759581","098-882-0777","098-882-0770","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"81","まつだクリニック","0","20","9011303","沖縄県","島尻郡与那原町","与那原３６７８","26.199872","127.761067","098-944-7400","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"82","よなみね眼科","0","20","9011304","沖縄県","島尻郡与那原町","東浜９４－１","26.205230","127.757345","098-944-1351","098-944-1348","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"83","上よなばるクリニック","0","20","9011302","沖縄県","島尻郡与那原町","字上与那原４６４","26.199585","127.747844","098-917-1078","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"84","なかだ内科クリニック","0","20","9011304","沖縄県","島尻郡与那原町","東浜９３－３","26.204941","127.758776","098-944-2211","098-944-2212","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"85","はえばる耳鼻咽喉科","0","20","9011105","沖縄県","島尻郡南風原町","新川１６３","26.203254","127.727251","098-888-2233","098-888-2233","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"86","沖縄県立南部保健所","0","23","9011104","沖縄県","島尻郡南風原町","宮平２１２","26.199032","127.738892","098-889-6364","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"87","沖縄県立総合精神保健福祉センター","0","23","9011104","沖縄県","島尻郡南風原町","宮平２１２","26.199032","127.738892","098-888-1443","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"88","はえばる皮ふ科医院","0","20","9011111","沖縄県","島尻郡南風原町","兼城７２５","26.190036","127.730782","098-889-7557","098-889-7877","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"89","はえばる眼科医院","0","20","9011111","沖縄県","島尻郡南風原町","兼城７２５","26.190036","127.730782","098-889-7555","098-889-7877","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"90","のはら小児科医院","0","20","9011111","沖縄県","島尻郡南風原町","兼城２５８","26.196621","127.731067","098-888-2111","098-888-1439","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"91","上里整形外科","0","20","9011111","沖縄県","島尻郡南風原町","兼城４０１","26.196574","127.724385","098-888-2227","098-888-2226","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"92","一般社団法人沖縄県健康づくり財団付属診療所","0","23","9011104","沖縄県","島尻郡南風原町","宮平２１２","26.199032","127.738892","098-889-6474","098-889-6463","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"93","一日橋医院","0","20","9011111","沖縄県","島尻郡南風原町","兼城４９７－１","26.196804","127.719319","098-889-7387","098-888-4318","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"94","てるや整形外科","0","20","9011117","沖縄県","島尻郡南風原町","津嘉山１５９５","26.183853","127.712623","098-888-3636","098-888-4877","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"95","吉クリニック","0","20","9011114","沖縄県","島尻郡南風原町","神里４９５","26.172874","127.727642","098-888-5552","098-888-5586","吉　晋一郎","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"96","ウィメンズメンタルクリニックみなみ","0","20","9011105","沖縄県","島尻郡南風原町","新川５０７－１","26.213244","127.727950","098-889-3739","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"97","比嘉胃腸科内科","0","20","9011116","沖縄県","島尻郡南風原町","照屋３６２","26.185689","127.727368","098-882-7000","098-882-7001","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"98","えびす耳鼻科","0","20","9011103","沖縄県","島尻郡南風原町","与那覇２８３","26.200415","127.738869","098-987-0033","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"99","心のクリニックさくら","0","20","9011103","沖縄県","島尻郡南風原町","与那覇２８３","26.200415","127.738869","098-851-7888","098-851-7555","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"100","南風内科クリニック","0","20","9011117","沖縄県","島尻郡南風原町","字津嘉山１４９０　","26.189922","127.708390","098-888-2121","098-888-1414","照屋　諭","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"101","みやぐに皮フ科","0","20","9011117","沖縄県","島尻郡南風原町","字津嘉山１４９０　","26.189922","127.708390","098-888-4112","098-888-4113","宮國　均","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"102","わんぱくクリニック","0","20","9011117","沖縄県","島尻郡南風原町","字津嘉山１４９０","26.189922","127.708390","098-888-1234","098-888-1211","呉屋　良信","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"103","つかやま内科","0","20","9011117","沖縄県","島尻郡南風原町","字津嘉山１６７４","26.183633","127.712851","098-888-6610","098-888-6611","津嘉山朝洋","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"104","発達・神経クリニックプロップ","0","20","9011105","沖縄県","島尻郡南風原町","字新川２１５－３","26.204001","127.727140","098-987-1233","098-987-0817","城間　直秀","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"105","つかざん腎クリニック","0","20","9011117","沖縄県","島尻郡南風原町","字津嘉山１４９０　メディカルプラザつかざん４Ｆ","26.189832","127.708439","098-888-3200","","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"106","つかざんクリニック","0","20","9011117","沖縄県","島尻郡南風原町","字津嘉山１３１５－１","26.194015","127.712919","098-888-6789","098-888-6791","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"107","空の森クリニック","0","20","9010406","沖縄県","島尻郡八重瀬町","字屋宜原２２９－１","26.165297","127.724417","098-998-0011","098-998-0022","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
