"facility_id","question_cd","answer_cd","answer_conent","created_at","updated_at"
"2","QA003","AA02025","","2017-12-13","2018-03-15"
"2","QA003","AA02028","","2017-12-13","2018-03-15"
"2","QA003","AA02036","","2017-12-13","2018-03-15"
"2","QZ006","AZ00001","","2017-12-13","2018-03-15"
"3","QA001","AA01008","","2017-12-13","2018-02-13"
"3","QA001","AA01015","","2017-12-13","2018-02-13"
"3","QA003","AA02025","","2017-12-13","2018-02-13"
"3","QA003","AA02027","","2017-12-13","2018-02-13"
"3","QA003","AA02028","","2017-12-13","2018-02-13"
"3","QA003","AA02036","","2017-12-13","2018-02-13"
"3","QZ001","AZ00001","","2017-12-13","2018-02-13"
"3","QG001","AZ00001","","2017-12-13","2018-02-13"
"7","QB001","AB01001","","2018-01-04","2018-02-13"
"7","QB001","AB01002","","2018-01-04","2018-02-13"
"7","QB001","AB01003","","2018-01-04","2018-02-13"
"10","QA003","AA02021","","2018-01-04","2018-02-13"
"10","QA003","AA02024","","2018-01-04","2018-02-13"
"10","QA003","AA02025","","2018-01-04","2018-02-13"
"10","QA003","AA02028","","2018-01-04","2018-02-13"
"10","QA004","AZ00000","但し、那覇市（宇栄原、小禄、鏡原）、南城市（大里）","2018-01-04","2018-02-13"
"10","QB001","AB01001","","2018-01-04","2018-02-13"
"10","QB001","AB01002","","2018-01-04","2018-02-13"
"10","QB001","AB01003","","2018-01-04","2018-02-13"
"10","QB002","AB02001","","2018-01-04","2018-02-13"
"10","QB002","AB02005","","2018-01-04","2018-02-13"
"10","QB002","AB02007","","2018-01-04","2018-02-13"
"10","QB002","AB02008","","2018-01-04","2018-02-13"
"10","QB002","AB02009","","2018-01-04","2018-02-13"
"10","QB002","AB02010","","2018-01-04","2018-02-13"
"10","QB002","AB02012","","2018-01-04","2018-02-13"
"10","QB002","AB02014","","2018-01-04","2018-02-13"
"10","QB002","AB02017","","2018-01-04","2018-02-13"
"10","QB002","AB02018","","2018-01-04","2018-02-13"
"10","QB002","AB02020","","2018-01-04","2018-02-13"
"10","QB003","AZ00000","電話連絡、２．外来時、３．直接面接、４．往診時","2018-01-04","2018-02-13"
"10","QB005","AB03002","","2018-01-04","2018-02-13"
"10","QB006","AB03003","","2018-01-04","2018-02-13"
"10","QB007","AZ00000","担当者会議は訪問日に調整してもらえると参加しやすい。
往診は診療時間内なら対応できる。","2018-01-04","2018-02-13"
"12","QA003","AA02025","","2018-01-04","2018-02-13"
"12","QB001","AB01001","","2018-01-04","2018-02-13"
"12","QB001","AB01002","","2018-01-04","2018-02-13"
"12","QB002","AB02005","","2018-01-04","2018-02-13"
"12","QB002","AB02012","","2018-01-04","2018-02-13"
"12","QB002","AB02018","","2018-01-04","2018-02-13"
"12","QB003","AZ00000","すべて地域連携室経由　２．電話連絡　３．往診時","2018-01-04","2018-02-13"
"12","QB004","AZ00000","医事課","2018-01-04","2018-02-13"
"12","QB006","AB03003","","2018-01-04","2018-02-13"
"12","QB007","AZ00000","医師と面談を希望する場合、まずは病院へご相談ください。また、状況に応じて面談方法、担当者会議への参加時間などは変更となることがあります。","2018-01-04","2018-02-13"
"18","QB001","AB01001","","2018-01-04","2018-02-13"
"18","QB001","AB01002","","2018-01-04","2018-02-13"
"18","QB001","AB01003","","2018-01-04","2018-02-13"
"18","QB002","AB02001","","2018-01-04","2018-02-13"
"18","QB002","AB02002","","2018-01-04","2018-02-13"
"18","QB002","AB02007","","2018-01-04","2018-02-13"
"18","QB002","AB02012","","2018-01-04","2018-02-13"
"19","QB001","AB01003","","2018-01-04","2018-02-13"
"19","QB002","AB02001","","2018-01-04","2018-02-13"
"19","QB002","AB02002","","2018-01-04","2018-02-13"
"19","QB002","AB02003","","2018-01-04","2018-02-13"
"19","QB002","AB02004","","2018-01-04","2018-02-13"
"19","QB002","AB02005","","2018-01-04","2018-02-13"
"19","QB002","AB02006","","2018-01-04","2018-02-13"
"19","QB002","AB02007","","2018-01-04","2018-02-13"
"19","QB002","AB02008","","2018-01-04","2018-02-13"
"19","QB002","AB02010","","2018-01-04","2018-02-13"
"19","QB002","AB02011","","2018-01-04","2018-02-13"
"19","QB002","AB02012","","2018-01-04","2018-02-13"
"19","QB002","AB02013","","2018-01-04","2018-02-13"
"19","QB002","AB02014","","2018-01-04","2018-02-13"
"19","QB002","AB02017","","2018-01-04","2018-02-13"
"19","QB002","AB02018","","2018-01-04","2018-02-13"
"19","QB002","AB02019","","2018-01-04","2018-02-13"
"19","QB002","AB02020","","2018-01-04","2018-02-13"
"40","QA003","AA02024","","2018-01-04","2018-02-13"
"40","QB001","AB01001","","2018-01-04","2018-02-13"
"40","QB001","AB01003","","2018-01-04","2018-02-13"
"40","QB002","AB02004","","2018-01-04","2018-02-13"
"40","QB002","AB02007","","2018-01-04","2018-02-13"
"40","QB002","AB02014","","2018-01-04","2018-02-13"
"40","QB003","AZ00000","電話連絡、２．外来時、３．直接面接、４．往診時","2018-01-04","2018-02-13"
"40","QB005","AB03003","","2018-01-04","2018-02-13"
"40","QB006","AB03003","","2018-01-04","2018-02-13"
"118","QA003","AA02023","","2018-01-04","2018-06-05"
"118","QA003","AA02024","","2018-01-04","2018-06-05"
"118","QA003","AA02025","","2018-01-04","2018-06-05"
"118","QA003","AA02036","","2018-01-04","2018-06-05"
"118","QB001","AB01001","","2018-01-04","2018-06-05"
"118","QB001","AB01002","","2018-01-04","2018-06-05"
"118","QB001","AB01003","","2018-01-04","2018-06-05"
"118","QB002","AB02001","","2018-01-04","2018-06-05"
"118","QB002","AB02002","","2018-01-04","2018-06-05"
"118","QB002","AB02003","","2018-01-04","2018-06-05"
"118","QB002","AB02004","","2018-01-04","2018-06-05"
"118","QB002","AB02006","","2018-01-04","2018-06-05"
"118","QB002","AB02007","","2018-01-04","2018-06-05"
"118","QB002","AB02008","","2018-01-04","2018-06-05"
"118","QB002","AB02010","","2018-01-04","2018-06-05"
"118","QB002","AB02011","","2018-01-04","2018-06-05"
"118","QB002","AB02012","","2018-01-04","2018-06-05"
"118","QB002","AB02014","","2018-01-04","2018-06-05"
"126","QA003","AA02023","","2018-01-04","2018-03-02"
"126","QA003","AA02024","","2018-01-04","2018-03-02"
"126","QA004","AZ00000","当院を中心とする半径16ｋｍ圏域（保険適用範囲）","2018-01-04","2018-03-02"
"126","QB001","AB01002","","2018-01-04","2018-03-02"
"126","QB003","AZ00000","電話相談、２．FAX連絡、３．直接面接、４．往診時、５．外来時","2018-01-04","2018-03-02"
"126","QB007","AZ00000","事前に電話などでご相談をお願いします。","2018-01-04","2018-03-02"
"126","QC002","AZ00000","訪問歯科","2018-01-04","2018-03-02"
"126","QC004","AC02001","","2018-01-04","2018-03-02"
"126","QC005","AC02001","","2018-01-04","2018-03-02"
"126","QC006","AC02001","","2018-01-04","2018-03-02"
"126","QC007","AC02001","","2018-01-04","2018-03-02"
"135","QA003","AA02023","","2018-01-04","2018-02-13"
"135","QB001","AB01005","","2018-01-04","2018-02-13"
"135","QB003","AZ00000","電話連絡、２．FAX連絡、３．直接電話、４．往診時、５．外来時","2018-01-04","2018-02-13"
"135","QC004","AC02001","","2018-01-04","2018-02-13"
"135","QC005","AC02001","","2018-01-04","2018-02-13"
"135","QC006","AC02002","","2018-01-04","2018-02-13"
"135","QC007","AC02001","","2018-01-04","2018-02-13"
"138","QB001","AB01005","","2018-01-04","2018-02-13"
"138","QB003","AZ00000","直接面接、２．往診時、３．外来時、４．電話連絡、５．FAX連絡、６．メール連絡","2018-01-04","2018-02-13"
"138","QC003","AZ00001","","2018-01-04","2018-02-13"
"138","QC004","AC02003","","2018-01-04","2018-02-13"
"138","QC005","AC02003","","2018-01-04","2018-02-13"
"138","QC006","AC02003","","2018-01-04","2018-02-13"
"138","QC007","AC02003","","2018-01-04","2018-02-13"
"141","QA003","AA02024","","2018-01-04","2018-03-02"
"141","QB001","AB01002","","2018-01-04","2018-03-02"
"141","QB007","AZ00000","訪問歯科診療を希望する場合は、まずは電話でご相談ください。","2018-01-04","2018-03-02"
"141","QC003","AZ00001","","2018-01-04","2018-03-02"
"141","QC004","AC02001","","2018-01-04","2018-03-02"
"141","QC005","AC02001","","2018-01-04","2018-03-02"
"141","QC006","AC02002","","2018-01-04","2018-03-02"
"141","QC007","AC02001","","2018-01-04","2018-03-02"
"142","QA003","AA02023","","2018-01-04","2018-03-02"
"142","QA003","AA02024","","2018-01-04","2018-03-02"
"142","QA003","AA02028","","2018-01-04","2018-03-02"
"142","QA003","AA02036","","2018-01-04","2018-03-02"
"142","QB001","AB01002","","2018-01-04","2018-03-02"
"142","QB003","AZ00000","電話相談、２・FAX連絡、３．直接面接、４．往診時、５．外来時","2018-01-04","2018-03-02"
"142","QB007","AZ00000","往診の診療日・時間については電話での相談となります。
診療日が決定したら事前に情報提供書、保険証のFAXをお願いします。","2018-01-04","2018-03-02"
"142","QC004","AC02001","","2018-01-04","2018-03-02"
"142","QC005","AC02001","","2018-01-04","2018-03-02"
"142","QC006","AC02002","","2018-01-04","2018-03-02"
"142","QC007","AC02001","","2018-01-04","2018-03-02"
"174","QA003","AA02025","","2018-01-04","2018-03-02"
"174","QA003","AA02027","","2018-01-04","2018-03-02"
"174","QA004","AZ00000","当院を中心とする半径16ｋｍ圏域（保険適用範囲）","2018-01-04","2018-03-02"
"174","QB001","AB01002","","2018-01-04","2018-03-02"
"174","QB001","AB01005","","2018-01-04","2018-03-02"
"174","QB007","AZ00000","事前に電話で相談して欲しい（木曜日、日曜・祝祭日は休診）","2018-01-04","2018-03-02"
"174","QC003","AZ00001","","2018-01-04","2018-03-02"
"174","QC004","AC02001","","2018-01-04","2018-03-02"
"174","QC005","AC02001","","2018-01-04","2018-03-02"
"174","QC006","AC02003","","2018-01-04","2018-03-02"
"174","QC007","AC02001","","2018-01-04","2018-03-02"
"175","QA003","AA02023","","2018-01-04","2018-02-13"
"193","QA004","AZ00000","当院を中心とする半径16ｋｍ圏域（保険適用範囲）","2018-01-04","2018-02-13"
"196","QA003","AA02024","","2018-01-04","2018-02-13"
"196","QA003","AA02028","","2018-01-04","2018-02-13"
"196","QA003","AA02036","","2018-01-04","2018-02-13"
"196","QA004","AZ00000","八重瀬町（東風平のみ）","2018-01-04","2018-02-13"
"196","QB001","AB01005","","2018-01-04","2018-02-13"
"196","QB003","AZ00000","FAX送信、メール連絡","2018-01-04","2018-02-13"
"196","QC004","AC02002","","2018-01-04","2018-02-13"
"196","QC005","AC02003","","2018-01-04","2018-02-13"
"196","QC006","AC02002","","2018-01-04","2018-02-13"
"196","QC007","AC02002","","2018-01-04","2018-02-13"
"197","QA003","AA02023","","2018-01-04","2018-03-02"
"197","QA003","AA02024","","2018-01-04","2018-03-02"
"197","QA003","AA02025","","2018-01-04","2018-03-02"
"197","QA003","AA02027","","2018-01-04","2018-03-02"
"197","QA003","AA02028","","2018-01-04","2018-03-02"
"197","QA003","AA02036","","2018-01-04","2018-03-02"
"197","QA004","AZ00000","当院を中心とする半径16ｋｍ圏域（保険適用範囲）","2018-01-04","2018-03-02"
"197","QB001","AB01002","","2018-01-04","2018-03-02"
"197","QB003","AZ00000","電話連絡、往診時、FAX連絡","2018-01-04","2018-03-02"
"197","QB007","AZ00000","○　訪問診療は、前もって予約が必要です。
○　往診の診療時間について相談可能
○　情報提供書等を受付時にFAX等で提供して欲しい。","2018-01-04","2018-03-02"
"197","QC004","AC02001","","2018-01-04","2018-03-02"
"197","QC005","AC02001","","2018-01-04","2018-03-02"
"197","QC006","AC02001","","2018-01-04","2018-03-02"
"197","QC007","AC02001","","2018-01-04","2018-03-02"
"208","QA001","AA01008","","2018-01-04","2018-07-12"
"208","QA001","AA01009","","2018-01-04","2018-07-12"
"208","QA001","AA01010","","2018-01-04","2018-07-12"
"208","QA001","AA01011","","2018-01-04","2018-07-12"
"208","QA001","AA01012","","2018-01-04","2018-07-12"
"208","QA001","AA01014","","2018-01-04","2018-07-12"
"208","QA001","AA01015","","2018-01-04","2018-07-12"
"208","QA003","AA02023","","2018-01-04","2018-07-12"
"208","QA003","AA02024","","2018-01-04","2018-07-12"
"208","QA003","AA02036","","2018-01-04","2018-07-12"
"209","QA001","AA01010","","2018-01-04","2018-07-09"
"209","QA001","AA01012","","2018-01-04","2018-07-09"
"209","QA001","AA01015","","2018-01-04","2018-07-09"
"209","QA003","AA02023","","2018-01-04","2018-07-09"
"209","QA003","AA02024","","2018-01-04","2018-07-09"
"209","QA003","AA02036","","2018-01-04","2018-07-09"
"218","QA001","AA01008","","2018-01-04","2018-07-12"
"218","QA001","AA01009","","2018-01-04","2018-07-12"
"218","QA001","AA01010","","2018-01-04","2018-07-12"
"218","QA001","AA01011","","2018-01-04","2018-07-12"
"218","QA001","AA01012","","2018-01-04","2018-07-12"
"218","QA001","AA01014","","2018-01-04","2018-07-12"
"218","QA001","AA01015","","2018-01-04","2018-07-12"
"218","QA003","AA02023","","2018-01-04","2018-07-12"
"218","QA003","AA02024","","2018-01-04","2018-07-12"
"218","QA003","AA02036","","2018-01-04","2018-07-12"
"221","QA001","AA01008","","2018-01-04","2018-07-17"
"221","QA001","AA01009","","2018-01-04","2018-07-17"
"221","QA001","AA01010","","2018-01-04","2018-07-17"
"221","QA001","AA01011","","2018-01-04","2018-07-17"
"221","QA001","AA01012","","2018-01-04","2018-07-17"
"221","QA001","AA01014","","2018-01-04","2018-07-17"
"221","QA001","AA01015","","2018-01-04","2018-07-17"
"221","QA003","AA02023","","2018-01-04","2018-07-17"
"221","QA003","AA02024","","2018-01-04","2018-07-17"
"221","QA004","AZ00000","当局を中心とする半径16km圏域（保険適用範囲）","2018-01-04","2018-07-17"
"222","QA001","AA01008","","2018-01-04","2018-07-12"
"222","QA001","AA01009","","2018-01-04","2018-07-12"
"222","QA001","AA01011","","2018-01-04","2018-07-12"
"222","QA001","AA01014","","2018-01-04","2018-07-12"
"222","QA001","AA01015","","2018-01-04","2018-07-12"
"222","QA003","AA02024","","2018-01-04","2018-07-12"
"234","QA001","AA01008","","2018-01-04","2018-07-10"
"234","QA001","AA01009","","2018-01-04","2018-07-10"
"234","QA001","AA01010","","2018-01-04","2018-07-10"
"234","QA001","AA01011","","2018-01-04","2018-07-10"
"234","QA001","AA01012","","2018-01-04","2018-07-10"
"234","QA001","AA01014","","2018-01-04","2018-07-10"
"234","QA001","AA01015","","2018-01-04","2018-07-10"
"257","QA001","AA01006","","2018-01-04","2018-07-11"
"257","QA001","AA01008","","2018-01-04","2018-07-11"
"257","QA001","AA01009","","2018-01-04","2018-07-11"
"257","QA001","AA01011","","2018-01-04","2018-07-11"
"257","QA003","AA02023","","2018-01-04","2018-07-11"
"257","QA003","AA02024","","2018-01-04","2018-07-11"
"257","QA003","AA02028","","2018-01-04","2018-07-11"
"257","QA003","AA02036","","2018-01-04","2018-07-11"
"258","QA003","AA02036","","2018-01-04","2018-07-11"
"260","QA001","AA01012","","2018-01-04","2018-02-13"
"260","QA003","AA02021","","2018-01-04","2018-02-13"
"260","QA003","AA02023","","2018-01-04","2018-02-13"
"260","QA003","AA02024","","2018-01-04","2018-02-13"
"260","QA003","AA02025","","2018-01-04","2018-02-13"
"260","QA003","AA02027","","2018-01-04","2018-02-13"
"260","QA003","AA02028","","2018-01-04","2018-02-13"
"260","QA003","AA02036","","2018-01-04","2018-02-13"
"260","QZ003","AZ00001","","2018-01-04","2018-02-13"
"260","QF003","AZ00001","","2018-01-04","2018-02-13"
"261","QA001","AA01001","","2018-01-04","2018-02-13"
"261","QA001","AA01002","","2018-01-04","2018-02-13"
"261","QA001","AA01003","","2018-01-04","2018-02-13"
"261","QA001","AA01004","","2018-01-04","2018-02-13"
"261","QA001","AA01005","","2018-01-04","2018-02-13"
"261","QA001","AA01006","","2018-01-04","2018-02-13"
"261","QA001","AA01007","","2018-01-04","2018-02-13"
"261","QA001","AA01008","","2018-01-04","2018-02-13"
"261","QA001","AA01009","","2018-01-04","2018-02-13"
"261","QA001","AA01013","","2018-01-04","2018-02-13"
"261","QA001","AA01014","","2018-01-04","2018-02-13"
"261","QA001","AA01015","","2018-01-04","2018-02-13"
"261","QA001","AA01016","","2018-01-04","2018-02-13"
"261","QA001","AA01017","","2018-01-04","2018-02-13"
"261","QA001","AA01018","","2018-01-04","2018-02-13"
"261","QA003","AA02023","","2018-01-04","2018-02-13"
"261","QA003","AA02024","","2018-01-04","2018-02-13"
"261","QA003","AA02025","","2018-01-04","2018-02-13"
"261","QA003","AA02028","","2018-01-04","2018-02-13"
"261","QA003","AA02036","","2018-01-04","2018-02-13"
"261","QA004","AZ00000","南城市と南風原町は一部の地区","2018-01-04","2018-02-13"
"261","QZ002","AZ00001","","2018-01-04","2018-02-13"
"261","QZ003","AZ00001","","2018-01-04","2018-02-13"
"261","QF001","AZ00001","","2018-01-04","2018-02-13"
"261","QF002","AZ00001","","2018-01-04","2018-02-13"
"262","QA001","AA01001","","2018-01-04","2018-02-13"
"262","QA001","AA01002","","2018-01-04","2018-02-13"
"262","QA001","AA01003","","2018-01-04","2018-02-13"
"262","QA001","AA01004","","2018-01-04","2018-02-13"
"262","QA001","AA01005","","2018-01-04","2018-02-13"
"262","QA001","AA01006","","2018-01-04","2018-02-13"
"262","QA001","AA01007","","2018-01-04","2018-02-13"
"262","QA001","AA01008","","2018-01-04","2018-02-13"
"262","QA001","AA01009","","2018-01-04","2018-02-13"
"262","QA001","AA01013","","2018-01-04","2018-02-13"
"262","QA001","AA01014","","2018-01-04","2018-02-13"
"262","QA001","AA01015","","2018-01-04","2018-02-13"
"262","QA001","AA01016","","2018-01-04","2018-02-13"
"262","QA001","AA01017","","2018-01-04","2018-02-13"
"262","QA001","AA01018","","2018-01-04","2018-02-13"
"262","QA003","AA02024","","2018-01-04","2018-02-13"
"262","QA003","AA02025","","2018-01-04","2018-02-13"
"262","QA003","AA02027","","2018-01-04","2018-02-13"
"262","QA003","AA02028","","2018-01-04","2018-02-13"
"262","QA003","AA02036","","2018-01-04","2018-02-13"
"262","QA004","AZ00000","事業所より30～40分圏内","2018-01-04","2018-02-13"
"262","QZ002","AZ00001","","2018-01-04","2018-02-13"
"262","QZ003","AZ00001","","2018-01-04","2018-02-13"
"262","QF001","AZ00001","","2018-01-04","2018-02-13"
"262","QF002","AZ00001","","2018-01-04","2018-02-13"
"262","QZ006","AZ00001","","2018-01-04","2018-02-13"
"262","QZ005","AZ00001","","2018-01-04","2018-02-13"
"262","QZ004","AZ00001","","2018-01-04","2018-02-13"
"264","QA001","AA01001","","2018-01-04","2018-02-13"
"264","QA001","AA01002","","2018-01-04","2018-02-13"
"264","QA001","AA01003","","2018-01-04","2018-02-13"
"264","QA001","AA01004","","2018-01-04","2018-02-13"
"264","QA001","AA01005","","2018-01-04","2018-02-13"
"264","QA001","AA01006","","2018-01-04","2018-02-13"
"264","QA001","AA01007","","2018-01-04","2018-02-13"
"264","QA001","AA01008","","2018-01-04","2018-02-13"
"264","QA001","AA01009","","2018-01-04","2018-02-13"
"264","QA001","AA01012","","2018-01-04","2018-02-13"
"264","QA001","AA01013","","2018-01-04","2018-02-13"
"264","QA001","AA01014","","2018-01-04","2018-02-13"
"264","QA001","AA01015","","2018-01-04","2018-02-13"
"264","QA001","AA01016","","2018-01-04","2018-02-13"
"264","QA001","AA01017","","2018-01-04","2018-02-13"
"264","QA001","AA01018","","2018-01-04","2018-02-13"
"264","QA003","AA02023","","2018-01-04","2018-02-13"
"264","QA003","AA02024","","2018-01-04","2018-02-13"
"264","QA003","AA02025","","2018-01-04","2018-02-13"
"264","QA003","AA02028","","2018-01-04","2018-02-13"
"264","QA004","AZ00000","事務所からの距離で要相談。","2018-01-04","2018-02-13"
"264","QZ001","AZ00001","","2018-01-04","2018-02-13"
"264","QZ002","AZ00001","","2018-01-04","2018-02-13"
"264","QZ003","AZ00001","","2018-01-04","2018-02-13"
"264","QF001","AZ00001","","2018-01-04","2018-02-13"
"264","QF002","AZ00001","","2018-01-04","2018-02-13"
"264","QF003","AZ00001","","2018-01-04","2018-02-13"
"265","QA001","AA01001","","2018-01-04","2018-02-13"
"265","QA001","AA01002","","2018-01-04","2018-02-13"
"265","QA001","AA01003","","2018-01-04","2018-02-13"
"265","QA001","AA01004","","2018-01-04","2018-02-13"
"265","QA001","AA01005","","2018-01-04","2018-02-13"
"265","QA001","AA01006","","2018-01-04","2018-02-13"
"265","QA001","AA01007","","2018-01-04","2018-02-13"
"265","QA001","AA01008","","2018-01-04","2018-02-13"
"265","QA001","AA01009","","2018-01-04","2018-02-13"
"265","QA001","AA01012","","2018-01-04","2018-02-13"
"265","QA001","AA01013","","2018-01-04","2018-02-13"
"265","QA001","AA01014","","2018-01-04","2018-02-13"
"265","QA001","AA01015","","2018-01-04","2018-02-13"
"265","QA001","AA01016","","2018-01-04","2018-02-13"
"265","QA001","AA01017","","2018-01-04","2018-02-13"
"265","QA001","AA01018","","2018-01-04","2018-02-13"
"265","QA002","AZ00000","リハビリテーション","2018-01-04","2018-02-13"
"265","QA003","AA02025","","2018-01-04","2018-02-13"
"265","QA003","AA02027","","2018-01-04","2018-02-13"
"265","QA003","AA02028","","2018-01-04","2018-02-13"
"265","QA003","AA02036","","2018-01-04","2018-02-13"
"265","QZ003","AZ00001","","2018-01-04","2018-02-13"
"265","QF002","AZ00001","","2018-01-04","2018-02-13"
"265","QF003","AZ00001","","2018-01-04","2018-02-13"
"265","QZ006","AZ00001","","2018-01-04","2018-02-13"
"266","QA001","AA01001","","2018-01-04","2018-02-13"
"266","QA001","AA01002","","2018-01-04","2018-02-13"
"266","QA001","AA01003","","2018-01-04","2018-02-13"
"266","QA001","AA01007","","2018-01-04","2018-02-13"
"266","QA001","AA01013","","2018-01-04","2018-02-13"
"266","QA001","AA01016","","2018-01-04","2018-02-13"
"266","QA001","AA01017","","2018-01-04","2018-02-13"
"266","QA003","AA02025","","2018-01-04","2018-02-13"
"266","QA003","AA02027","","2018-01-04","2018-02-13"
"266","QA003","AA02028","","2018-01-04","2018-02-13"
"266","QA003","AA02036","","2018-01-04","2018-02-13"
"267","QA001","AA01001","","2018-01-04","2018-02-13"
"267","QA001","AA01002","","2018-01-04","2018-02-13"
"267","QA001","AA01003","","2018-01-04","2018-02-13"
"267","QA001","AA01004","","2018-01-04","2018-02-13"
"267","QA001","AA01005","","2018-01-04","2018-02-13"
"267","QA001","AA01006","","2018-01-04","2018-02-13"
"267","QA001","AA01007","","2018-01-04","2018-02-13"
"267","QA001","AA01008","","2018-01-04","2018-02-13"
"267","QA001","AA01009","","2018-01-04","2018-02-13"
"267","QA001","AA01012","","2018-01-04","2018-02-13"
"267","QA001","AA01013","","2018-01-04","2018-02-13"
"267","QA001","AA01014","","2018-01-04","2018-02-13"
"267","QA001","AA01015","","2018-01-04","2018-02-13"
"267","QA001","AA01016","","2018-01-04","2018-02-13"
"267","QA001","AA01017","","2018-01-04","2018-02-13"
"267","QA001","AA01018","","2018-01-04","2018-02-13"
"267","QA003","AA02023","","2018-01-04","2018-02-13"
"267","QA003","AA02024","","2018-01-04","2018-02-13"
"267","QA003","AA02025","","2018-01-04","2018-02-13"
"267","QA003","AA02027","","2018-01-04","2018-02-13"
"267","QA003","AA02028","","2018-01-04","2018-02-13"
"267","QA003","AA02036","","2018-01-04","2018-02-13"
"267","QA004","AZ00000","相談に応じます","2018-01-04","2018-02-13"
"267","QZ001","AZ00001","","2018-01-04","2018-02-13"
"267","QZ002","AZ00001","","2018-01-04","2018-02-13"
"267","QZ003","AZ00001","","2018-01-04","2018-02-13"
"267","QF001","AZ00001","","2018-01-04","2018-02-13"
"267","QF002","AZ00001","","2018-01-04","2018-02-13"
"267","QF003","AZ00001","","2018-01-04","2018-02-13"
"269","QA001","AA01001","","2018-01-04","2018-02-13"
"269","QA001","AA01002","","2018-01-04","2018-02-13"
"269","QA001","AA01003","","2018-01-04","2018-02-13"
"269","QA001","AA01004","","2018-01-04","2018-02-13"
"269","QA001","AA01005","","2018-01-04","2018-02-13"
"269","QA001","AA01006","","2018-01-04","2018-02-13"
"269","QA001","AA01007","","2018-01-04","2018-02-13"
"269","QA001","AA01008","","2018-01-04","2018-02-13"
"269","QA001","AA01009","","2018-01-04","2018-02-13"
"269","QA001","AA01012","","2018-01-04","2018-02-13"
"269","QA001","AA01013","","2018-01-04","2018-02-13"
"269","QA001","AA01014","","2018-01-04","2018-02-13"
"269","QA001","AA01015","","2018-01-04","2018-02-13"
"269","QA001","AA01016","","2018-01-04","2018-02-13"
