"名前","住所","緯度","経度"
"ながみね内科","島尻郡与那原町与那原１１２１",,
"まつだクリニック","島尻郡与那原町与那原３６７８",,
"よなみね眼科","島尻郡与那原町東浜９４－１",,
"上よなばるクリニック","島尻郡与那原町字上与那原４６４",,
"なかだ内科クリニック","島尻郡与那原町東浜９３－３",,
"はえばる耳鼻咽喉科","島尻郡南風原町新川１６３",,
"沖縄県立南部保健所","島尻郡南風原町宮平２１２",,
"沖縄県立総合精神保健福祉センター","島尻郡南風原町宮平２１２",,
"はえばる皮ふ科医院","島尻郡南風原町兼城７２５",,
"はえばる眼科医院","島尻郡南風原町兼城７２５",,
"のはら小児科医院","島尻郡南風原町兼城２５８",,
"上里整形外科","島尻郡南風原町兼城４０１",,
"一般社団法人沖縄県健康づくり財団付属診療所","島尻郡南風原町宮平２１２",,
"一日橋医院","島尻郡南風原町兼城４９７－１",,
"てるや整形外科","島尻郡南風原町津嘉山１５９５",,
"吉クリニック","島尻郡南風原町神里４９５",,
"ウィメンズメンタルクリニックみなみ","島尻郡南風原町新川５０７－１",,
"比嘉胃腸科内科","島尻郡南風原町照屋３６２",,
"えびす耳鼻科","島尻郡南風原町与那覇２８３",,
"心のクリニックさくら","島尻郡南風原町与那覇２８３",,
"南風内科クリニック","島尻郡南風原町字津嘉山１４９０　",,
"みやぐに皮フ科","島尻郡南風原町字津嘉山１４９０　",,
"わんぱくクリニック","島尻郡南風原町字津嘉山１４９０",,
"つかやま内科","島尻郡南風原町字津嘉山１６７４",,
"発達・神経クリニックプロップ","島尻郡南風原町字新川２１５－３",,
"つかざん腎クリニック","島尻郡南風原町字津嘉山１４９０　メディカルプラザつかざん４Ｆ",,
"つかざんクリニック","島尻郡南風原町字津嘉山１３１５－１",,
"空の森クリニック","島尻郡八重瀬町字屋宜原２２９－１",,
"東風平第一医院","島尻郡八重瀬町友寄４２",,
"東風平クリニック","島尻郡八重瀬町伊覇２５４－３　",,
"中村内科胃腸科","島尻郡八重瀬町具志１５４－９",,
"やえせ整形外科","島尻郡八重瀬町字伊覇２５８－２",,
"沖縄こどもおとなの整形外科","島尻郡八重瀬町字東風平１２０９",,
"やえせ眼科","島尻郡八重瀬町字伊覇６５－２７",,
"耳鼻咽喉科やえせクリニック","島尻郡八重瀬町字伊覇３０４",,
"やえせ子どもクリニック","島尻郡八重瀬町字伊覇５４－3",,
"とよみ生協病院","糸満市豊見城市字真玉橋593番地の1",,
"西崎病院","糸満市字座波371番地1",,
"南部病院","糸満市字真栄里870",,
"県立南部医療センター・こども医療センター","島尻郡南風原町字新川118-1",,
"がじまる診療所","糸満市西崎2丁目26番6号",,
"い歯科医院","糸満市潮平６０６－１ ",,
"ふてんま歯科クリニック","糸満市西崎６－１９－３西崎プラザ２Ｆ",,
"上原歯科クリニック","糸満市西崎６－１５－２",,
"ファミリー歯科クリニック","糸満市西崎町３－４９３ ",,
"大城歯科","糸満市西崎２－４３－３",,
"しおひら歯科医院","糸満市潮平６１９－２",,
"フレンド歯科医院","糸満市西崎２－７－１４グランハイム西崎　１階",,
"かみや歯科クリニック","糸満市潮平７９８－４オアシス當銘１Ｆ ",,
"サンプラザ糸満歯科医院 　","糸満市兼城４００",,
"かしわ歯科","糸満市糸満１４７３－２－１Ｆ",,
"アサヒ歯科医院","糸満市糸満１２７８－２　１Ｆ",,
"まえざと歯科　","糸満市真栄里２０５８－２リーブル沖縄　101号",,
"かなばやし歯科　","糸満市賀数４６９ニューワールド１０１",,
"やすだ歯科医院","糸満市糸満１９２２",,
"あおば歯科医院","糸満市福地１６５－１",,
"げんまい歯科医院","糸満市米須２４８ ",,
"あはごん歯科","糸満市潮平７７１－２花城アパート１Ｆ",,
"上原歯科医院","糸満市字糸満１３６７-１",,
"上地歯科・耳鼻咽喉科","豊見城市字我那覇４７６－1",,
"ざは歯科クリニック","豊見城市高安４１３－１大漁マンション２Ｆ",,
"竹尾歯科医院","豊見城市高嶺３９３－５ ",,
"おおみ歯科医院","豊見城市豊見城６７３－５ ",,
"豊見城歯科クリニック","豊見城市高嶺３５９－１ ",,
"ハッピー歯科小児歯科","豊見城市豊見城８０嘉数アパート２Ｆ",,
"ゆがふ歯科クリニック","豊見城市豊見城４６９－１ ",,
"みやひら歯科医院","豊見城市真玉橋１３５",,
"ねま歯科クリニック","豊見城市宜保３１０－１１豊和マンション１Ｆ",,
"歯科ヨナシロ医院","豊見城市高安７３４－２　２Ｆ",,
"寺西歯科医院","豊見城市豊見城４１９－１",,
"トヨミ歯科","豊見城市根差部７１０マックスバリューとよみ店",,
"真玉橋歯科医院","豊見城市真玉橋１４７ ",,
"きらら歯科クリニック","豊見城市宜保３７０番地",,
"とよみデンタルクリニック","豊見城市平良９５番地の１",,
"金城歯科クリニック","豊見城市根差部４１９番地",,
"豊崎デンタルクリニック","豊見城市豊崎１－４２３",,
"しおはま歯科医院","豊見城市豊見城３６８－１　１Ｆ",,
"まこと歯科医院","豊見城市豊崎１－３２６",,
"オレンジ歯科クリニック","豊見城市字高嶺３６４－１　コモンズ栄Ａ－１",,
"かめーる歯科","豊見城市字我那覇６４３番地",,
"モリヤデンタルオフィス","豊見城市翁長８５４－２－１０１",,
"よつば小児・矯正歯科","豊見城市豊崎１－３２３ ",,
"とはしな歯科クリニック","豊見城市字渡橋名２番地１ ",,
"瀬底歯科医院","南城市佐敷津波古２４６",,
"松山歯科","南城市佐敷津波古１００６ ",,
"おおざと歯科医院","南城市大里字平良２５０５－１ ",,
"船越歯科医院","南城市玉城船越９８０城マンション１Ｆ ",,
"トモヨセ歯科","南城市大里仲間１１６２－２ ",,
"さしき歯科","南城市佐敷新里６０７－１ ",,
"アトール歯科","南城市大里仲間１１５５ ",,
"ふさとデンタルクリニック","南城市玉城富里８",,
"南城歯科クリニック","南城市玉城堀川７８８番地",,
"しんかい歯科","南城市佐敷新開１－１１１ ",,
"ふたば歯科医院","南城市佐敷新開１－１４３ ",,
"コマカ歯科クリニック","南城市知念久手堅３２７－１",,
"みのり歯科　大里","南城市大里字高平高宮城原９７番地２ ",,
"ひまわり歯科医院","島尻郡与那原町与那原１１０７ ",,
"マリンタウン東浜総合歯科","島尻郡与那原町東浜２２－４",,
"よなばる中央歯科","島尻郡与那原町与那原７７上原ビル２Ｆ ",,
"ｉデンタルクリニック","島尻郡与那原町東浜８０－３ ",,
"東浜アクア歯科","島尻郡与那原町字東浜９９番３",,
"池田歯科クリニック","島尻郡与那原町上与那原４３５－２番地　１階",,
"つかざん歯科","島尻郡南風原町字津嘉山１５６７",,
"高橋歯科医院","島尻郡南風原町兼城５６３－１ ",,
"一日橋むらた歯科医院","島尻郡南風原町兼城５１６－１",,
"けん歯科クリニック","島尻郡南風原町津嘉山１５９７－３",,
"みなみ歯科医院","島尻郡南風原町宮平２４８－５",,
"ムーミン歯科","島尻郡南風原町津嘉山１７０９－３　フラッシュユキ１Ｆ",,
"トムこども歯科クリニック","島尻郡南風原町兼城７１０－１　１０３号 ",,
"よなみね歯科クリニック","島尻郡南風原町宮平５９－２",,
"あっぷる歯科クリニック","島尻郡南風原町津嘉山１４６７番地３",,
"メディカルプラザ歯科","島尻郡南風原町与那覇２８３　メディカルプラザはえばる３Ｆ ",,
"はえばる歯科医院","島尻郡南風原町字照屋３６８サンキャッスル１０２号",,
"まじきな歯科クリニック","島尻郡南風原町新川２１５－３ ",,
"オキナワ・デンタルオフィス","島尻郡南風原町字津嘉山１３３９番地１",,
"つかやま歯科","島尻郡南風原町字津嘉山１４０４番地２コーポＫＡＺＵ ",,
"みのる歯科","島尻郡南風原町字津嘉山１３７１番地３",,
"上地歯科医院","島尻郡八重瀬町宜次７０６－４",,
"こちんだ歯科クリニック","島尻郡八重瀬町東風平３９６－１　１０１号",,
"ナガシマ歯科医院","島尻郡八重瀬町具志３４２－９",,
"なんぶ歯科医院","島尻郡八重瀬町東風平１１番地",,
"ちゅら歯科","島尻郡八重瀬町伊覇３０９番地",,
"やえせ歯科","島尻郡八重瀬町字東風平921-1　コーポサンライズ１Ｆ",,
"いちまる歯科口腔外科医院","島尻郡八重瀬町字東風平４９３－６",,
"沖縄県口腔保健医療センター","島尻郡南風原町字新川２１８番地１",,
"南部徳州会病院（歯科）","島尻郡八重瀬町字外間１７１－１",,
"新垣薬局","糸満市糸満989-28",,
"あはごん薬局","糸満市阿波根1552-5",,
"南山薬局","糸満市字真栄里908",,
"レモン薬局","糸満市字潮平706-7",,
"おれんじ薬局","糸満市糸満1269",,
"有限会社　晴天堂薬局","糸満市字西崎6丁目16-6",,
"ゆい薬局真栄里店","糸満市字真栄里2024番地の3",,
"たんぽぽ薬局","糸満市字潮平708番地19",,
"なかむら薬局","糸満市字西崎2-7-1",,
"ゆい潮平薬局","糸満市字潮平767番地19",,
"薬志堂薬局　真栄里店","糸満市字真栄里2036番地1",,
"ゆい西崎薬局","糸満市字西崎2丁目26番11号",,
"なごみ薬局","糸満市潮崎町2-1-13",,
"ほがらか薬局","糸満市阿波根873番地-1",,
"りんご調剤薬局　糸満店","糸満市字大度515-1",,
"万年堂薬局　平良店","豊見城市平良103-3",,
"豊見城薬局","豊見城市宜保266-21",,
"とみー薬局","豊見城市豊見城445-1",,
"サンアイ薬局","豊見城市宜保310-7",,
"ミッキー薬局","豊見城市宜保152番地　ｺｰﾎﾟﾊﾟｰｸｻｲﾄﾞ1-A",,
"しんせい薬局　豊見城店","豊見城市宜保306-1",,
"あいらんど薬局　豊見城中央病院前店","豊見城市宜保266-21番地の16",,
"会営薬局　とよみ","豊見城市宜保271番地1",,
"ミント薬局　豊見城店","豊見城市豊見城549番地8",,
"ハープ薬局　とみしろ店","豊見城市上田1-1",,
"いちご薬局　真玉橋店","豊見城市字真玉橋285-11F",,
"そうごう薬局　豊見城店","豊見城市高嶺395-103",,
"瀬底薬局","南城市佐敷津波古157",,
"りんりん堂薬局","南城市大里字平良2568-2",,
"すこやか薬局　大里店","南城市大里稲嶺2025番地2",,
"ハイビスカス薬局","南城市玉城堀川697-1",,
"はくあい薬局","南城市佐敷津波古西原2310-2",,
"JR九州ドラッグイレブン薬局　　佐敷店","南城市佐敷津波古1226番地1",,
"くはら薬局","南城市知念字久原693番地",,
"つつじ薬局ヨナ原","島尻郡与那原町与那原2918",,
"いじゅの木薬局","島尻郡与那原町与那原1118",,
"いちご薬局　","島尻郡与那原町上与那原340-2",,
"ヴァインドラッグあがり浜薬局","島尻郡与那原町東浜681番地1-2",,
"みのり薬局　","島尻郡与那原町東浜90-4",,
"さかき薬局","島尻郡南風原町字津嘉山1593",,
"あおぞら薬局","島尻郡南風原町字与那覇236-1",,
"寿薬局","島尻郡南風原町字宮平498",,
"クローバー薬局","島尻郡南風原町字新川423-7",,
"すこやか薬局　新川店","島尻郡南風原町字新川101-3番地",,
"サン薬局","島尻郡南風原町字新川67-10",,
"クララ薬局","島尻郡南風原町字神里434番地の1",,
"会営薬局　医療センター前","島尻郡南風原町字新川218番地10",,
"とくりん薬局","島尻郡南風原町字与那覇283番地",,
"ハープ薬局　つかざん点","島尻郡南風原町字津嘉山1490番地　メディカルプラザつかざん１Ｆ",,
"ひだまり薬局","島尻郡南風原町字新川214-2",,
"新生堂薬局　琉球つかざん店","島尻郡南風原町字津嘉山1315-1",,
"あにも調剤薬局","島尻郡八重瀬町字伊覇65-24",,
"りんご調剤薬局　東風平店","島尻郡八重瀬町字東風平1209-16",,
"訪問看護ステーション　ひまわり","糸満市字賀数406番地の1",,
"訪問看護ステーション　テンタス","糸満市糸満989番地の74",,
"友愛会訪問看護ステーション","糸満市真栄里870番地",,
"訪問看護ステーション　おもととよみの杜","豊見城市渡嘉敷150番地",,
"エクスプロア訪問看護ステーション","豊見城市豊見城975-10",,
"ウィル訪問看護ステーション豊見城","豊見城市根差部690-2",,
"沖縄メディカル訪問看護ステーション","南城市佐敷字新開１番地344",,
"信山会訪問看護ステーション南城つはこ","南城市佐敷津波古432番地　",,
"訪問看護ステーション　ひなた","南城市玉城親慶原153番地２",,
"訪問看護ステーション　ぶどうの木","南城市大里字嶺井515番地4S-1",,
"訪問看護ステーション　はえばる","島尻郡南風原町新川272番地17",,
"ふれあい老人訪問看護ステーション","島尻郡南風原町字兼城642番地の１　",,
"ふたば 訪問看護ステーション","島尻郡南風原町字兼城274番地の1",,
"訪問看護ステーション　はっぴー","島尻郡南風原町照屋299番地１",,
"訪問看護ステーション　いこい","島尻郡八重瀬町外間80番地　",,
"訪問看護ステーションゆいゆい","島尻郡八重瀬町友寄901番地１　コーポラス大城102号",,
"南部病院　訪問リハビリテーション","糸満市真栄里870番地",,
"とよみ生協病院訪問リハビリテーション","豊見城市字真玉橋５９３番地の１",,
"豊見城中央病院　訪問リハビリテーション","豊見城市字上田25番地",,
"医療法人おもと会大浜第二病院","豊見城市字渡嘉敷150番地",,
"沖縄第一病院　訪問リハビリテーション事業所","島尻郡南風原町字兼城642-1",,
"南部徳洲会病院　訪問リハビリテーション","島尻郡八重瀬町字外間171番地1",,
"ホームヘルパーステーション友愛","糸満市真栄里870",,
"いとまんシャトー訪問介護センター","糸満市大里927-2",,
"ヘルパーステーション西崎","糸満市西崎町三丁目379番地　1F",,
"ヘルパーステーションかがやき","糸満市照屋129番地",,
"訪問介護事業所　珊瑚","糸満市潮崎町4丁目8-13",,
"ヘルパーステーションみなみ","糸満市糸満1796-2",,
"ヘルパーステーション里のガーデン","糸満市字大里623番地７",,
"訪問介護ステーション　おもととよみの杜","豊見城市渡嘉敷150番地",,
"桜山荘介護支援ｾﾝﾀｰ豊見城","豊見城市字平良188-23",,
"ヘルパーステーションみのり","豊見城市豊見城600-1",,
"沖縄偕生会ホームヘルパーステーション","豊見城市宜保148番地　仲元マンション101号室",,
"ヘルパーステーションＨＯＰＥ","豊見城市上田315番地　１Ｆ",,
"ケアステーション　愛あい","豊見城市豊見城20番地　コーポおおた101号室",,
"ヘルパーステーションちばる","豊見城市長堂180-29",,
"小谷園指定訪問介護センター","南城市佐敷小谷238番地の１",,
"訪問介護事業所　栞","南城市玉城糸数672-1",,
"南城市社協ヘルパーステーション","南城市大里仲間918",,
"訪問介護 百十","南城市佐敷字津波古81番地",,
"訪問介護　ようき","南城市佐敷津波古1354番地1",,
"しらゆりの園訪問介護ステーション","南城市大里古堅820-1",,
"訪問介護ステーション　うりずん","島尻郡与那原町板良敷1281番地１",,
"ファミリー訪問介護事業所","島尻郡与那原町字与那原3585番地",,
"ケアネット　ひかり","島尻郡与那原町与那原1145番地2",,
"琉球ライフ　ヘルパーステーション","島尻郡与那原町与那原70番地　峰アパート102号",,
"与那原日の出園ホームヘルパーステーション","島尻郡与那原町与那原3782番地の1",,
"ヘルパーステーションひまわり","島尻郡与那原町字東浜78番地5　ディアフラッツ東浜105号",,
"ケアセンター　ちゅらら","島尻郡与那原町字与那原3861",,
"沖縄第一病院　訪問介護サービス","島尻郡南風原町兼城642-1",,
"南風原町社協指定訪問介護事業所","島尻郡南風原町宮平697番地10　　南風原町社会福祉センター",,
"訪問介護はっぴー","島尻郡南風原町字照屋299-1　桃テラス102号",,
"ケアセンター　野の花","島尻郡南風原町兼城263番地の23",,
"ヘルパーステーション かなさ","島尻郡南風原町照屋253番地の6東宝ビル19　102号",,
"ヘルパーステーション　ひかり","島尻郡南風原町津嘉山1613番地の5与座アパート102号",,
"訪問介護事業所ことぶき","島尻郡南風原町与那覇390番地6､1階",,
"ヘルパーステーション　いこい","島尻郡八重瀬町外間80",,
"ときわ苑訪問介護ステーション","島尻郡八重瀬町当銘378-1",,
"じーなの会訪問介護ステーション","島尻郡八重瀬町字宜次664番地の1",,
"転生園指定訪問介護事業所","島尻郡八重瀬町字安里670",,
"訪問介護サービス　あしみじ","島尻郡八重瀬町字具志1099-1",,
"訪問介護　寿々","島尻郡八重瀬町屋宜原110番地の3　アイニティ（2－Ｄ号室）",,
"イリーゼ八重瀬訪問介護センター","島尻郡八重瀬町長毛159-1",,
"ヘルパーステーション新緑の里","島尻郡八重瀬町東風平192番地８",,
"指定居宅介護支援事業所白寿園","糸満市字武富175番地の1",,
"居宅支援センター勝連","糸満市字真栄平1026番地",,
"ひめゆりクリニック指定居宅介護支援事業所","糸満市伊原107番地の１",,
"特別養護老人ﾎｰﾑ沖縄偕生園","糸満市字小波蔵321番地",,
"居宅介護支援センター寿","糸満市真栄里323番地",,
"居宅介護支援事業所あかり","糸満市糸満１５０５番地の３",,
"友愛会ケアプランセンター南部","糸満市真栄里８７０番地",,
"居宅介護支援西崎","糸満市西崎町三丁目379番地　1F",,
"居宅介護支援　ピンク","糸満市字潮平６３２番地の３",,
"居宅介護支援センター　てぃんがーら","糸満市照屋807番地コーポカトレア1階",,
"いとまんシャトー指定居宅介護支援センター","糸満市大里927番地の２",,
"まつの木ケアプランセンター","糸満市兼城618番地",,
"居宅介護支援事業所　珊瑚","糸満市潮崎町四丁目8-13",,
"ケアプランセンター　いずみ","糸満市照屋1258番地１",,
"居宅介護支援事業所みなみ","糸満市糸満1796番地の２",,
"居宅介護支援事業所いちまん","糸満市真栄里2045番地２",,
"うの花　居宅介護支援事業所","糸満市糸満989-11",,
"沖縄医療生活協同組合　とよみ生協病院指定居宅介護支援事業所","豊見城市字真玉橋５９３番地の1",,
"ケアプランサービス養生の里","豊見城市字我那覇291番地の25B-1",,
"平成苑居宅介護支援事業所","豊見城市字名嘉地217番地の2",,
"居宅介護支援事業所おもととよみの杜","豊見城市字渡嘉敷150番地",,
"良長園指定居宅介護支援事業所","豊見城市字金良88番地",,
"合資会社ひかり指定居宅介護支援事業所","豊見城市字平良145番地の3102号",,
"桜山荘介護支援専門員センター","豊見城市平良188番地23",,
"居宅介護支援サービス　かがやき","豊見城市高嶺３２２番地",,
"わかば居宅介護支援事業所","豊見城市豊見城６００番地１",,
"居宅介護支援事業所とよさき","豊見城市字翁長８６９番地　１階",,
"豊見城偕生園ケアプランセンター","豊見城市宜保148番地　仲元ﾏﾝｼｮﾝ101号室",,
"居宅介護支援事業所　華々","豊見城市高安600-4番地ヒルコート101号室",,
"ケアプランセンターゆたか","豊見城市字高嶺326番地1",,
"居宅介護支援事業所　ねね","豊見城市長堂402番地2サンガーデン101号",,
"居宅介護支援事業所　まごころ","豊見城市高安385番地　大城アパート108号",,
"居宅介護支援事業所　うえた","豊見城市上田１番地１７",,
"指定居宅介護支援事業所　ファミリーサポート","豊見城市饒波1118番地",,
"友愛会ケアプランセンター　豊見城","豊見城市宜保266番地４寛マンション101号",,
"居宅介護支援事業所　みんなの介護相談所","豊見城市豊見城64",,
"介護保険相談所リリーフ","豊見城市豊見城437番地11.１ビル2-Ａ号室",,
"みなみ野居宅介護支援事務所","南城市大里平良2584番地の２　２F",,
"おおざと信和苑指定居宅介護支援事業所","南城市大里字稲嶺1014番地",,
"居宅介護支援朝日","南城市玉城字喜良原526番地",,
"小谷園指定居宅介護支援センター","南城市佐敷字小谷238番地の1",,
"東雲の丘指定居宅介護支援事業所","南城市大里字大城1392番地",,
"居宅介護支援事業所　彩","南城市玉城糸数６７２－１",,
"南城市社協ケアプランセンター","南城市大里仲間９１８番地",,
"指定居宅介護支援事業所　ケアプラン青の空","南城市玉城當山8番地1",,
"こころ居宅介護支援事業所","南城市玉城字富里173-2(1Ｆ)",,
"沖縄メディカル居宅介護支援事業所","南城市佐敷新開1番地344",,
"花あかり　居宅介護支援事業所","南城市玉城愛地361番地",,
"居宅介護支援　ようき","南城市佐敷津波古1354番地1",,
"えがおケアセンター","南城市大里稲嶺１３１７番１",,
"居宅介護支援事業所　里のうさぎ","南城市大里稲嶺2101-83コーポ呉屋103",,
"しらゆりの園指定居宅介護支援事業所","南城市大里古堅820番地1",,
"介護支援センター　あまね","南城市玉城屋嘉部455番１",,
"ケアサポートセンターすまいる南城","南城市字つきしろ１６７８番地２２５",,
"ケアプランセンターほっ会期","南城市つきしろ1232番地137",,
"居宅介護支援センターうりずん","島尻郡与那原町板良敷1281番地の１",,
"有限会社ファミリー看護婦家政婦紹介所","島尻郡与那原町与那原3585番地",,
"居宅介護支援サービス　ふくよか","島尻郡与那原町与那原431番地",,
"与那原在宅ケアセンター居宅介護支援事業所","島尻郡与那原町与那原１７９２番地１",,
"ケアプランひかり","島尻郡与那原町与那原１１４５番地２",,
"与那原日の出園指定居宅介護支援事業所","島尻郡与那原町字与那原3782番地の1",,
"居宅介護支援事業所 さらばんじぃ","島尻郡与那原町字与那原3687番2",,
"ほがらか居宅介護支援事業所","島尻郡与那原町与那原1122番地　",,
"ケアプランセンター　うみちか","島尻郡与那原町東浜17番地の16",,
"沖縄第一病院指定居宅介護支援事業所","島尻郡南風原町兼城642番地の１",,
"居宅介護支援事業所はえばる","島尻郡南風原町新川272番地17",,
"ふたば　ケアプランセンター","島尻郡南風原町字兼城274番地の1",,
"嬉の里指定居宅介護支援事業所","島尻郡南風原町字新川538番地",,
"あい　介護センター","島尻郡南風原町津嘉山１１１４－１",,
"居宅介護支援はっぴー","島尻郡南風原町字照屋299番地1　桃テラス102号室",,
"ケアセンター　野の花","島尻郡南風原町兼城263番地の23",,
"居宅介護支援ｾﾝﾀｰ　「とき」","島尻郡南風原町宮平４２６番地１９",,
"はえばる日の出園居宅介護支援事業所","島尻郡南風原町字与那覇４４８番地の１",,
"居宅介護支援センター　ベストかねぐすく","島尻郡南風原町兼城２６５－１０",,
"居宅支援事業所　縁","島尻郡南風原町兼城132番地ｱﾊﾟｰﾄﾒﾝﾄあかみね103",,
"あいけい 居宅介護支援事業所","島尻郡南風原町字兼城214番地の2",,
"ケアプランあい","島尻郡南風原町照屋253番地の６東宝19　１０３号室",,
"南部徳洲会病院　指定居宅介護支援事業所","島尻郡八重瀬町字外間８０番地　（１階）",,
"指定居宅介護支援事業所東風の里","島尻郡八重瀬町字友寄891番地の1",,
"指定居宅介護支援事業所　東風平第一","島尻郡八重瀬町友寄42",,
"ときわ苑指定居宅介護支援センター","島尻郡八重瀬町字当銘378番の1",,
"転生園指定居宅介護支援事業所","島尻郡八重瀬町字安里670番地",,
"居宅介護支援事業所 ぐしちゃん","島尻郡八重瀬町字具志1241番地1",,
"有限会社　ちゅら島介護支援ｻｰﾋﾞｽセンター","島尻郡八重瀬町東風平1348番地の1",,
"イリーゼ八重瀬居宅介護支援事業所","島尻郡八重瀬町長毛159-1",,
"糸満市地域包括支援センター","糸満市潮崎町１丁目１番地",,
"豊見城市地域包括支援センター","豊見城市翁長８５４番地１１階",,
"南城市地域包括支援センター","南城市大里仲間８０７番地",,
"与那原町地域包括支援センター","島尻郡与那原町上与那原１６番地",,
"南風原町地域包括支援センター","島尻郡南風原町兼城６８６",,
"八重瀬町地域包括支援センター","島尻郡八重瀬町東風平1188番地",,
"ひめゆりデイサービスセンター","糸満市字伊原107番地の１",,
"沖縄偕生園デイサービスセンター","糸満市字小波蔵321番地",,
"いとまんシャトー指定通所介護センター","糸満市字大里927番地の２",,
"老人デイサービスセンター　ソフィア","糸満市字阿波根1029番地10",,
"デイサービス　あいまーる","糸満市字潮平797番地の6　2階",,
"デイサービスステーション　あい愛・ぴ～す館","糸満市照屋808-1番地",,
"デイサービスセンター あいさぽーと","糸満市字西崎三丁目21",,
"デイサービスセンター西崎","糸満市西崎町三丁目379番地",,
"デイサービスステーション　てぃんがーら","糸満市字照屋1203番地の1",,
"デイサービス　南部整形外科","糸満市字兼城618番地",,
