"facility_name","home_care","facility_type_id","郵便番号","都道府県名","市町村名","住所","マップ_lat","マップ_lng","telphone","fax","representative","homepage","available_time_mon","available_time_tue","available_time_wed","available_time_thu","available_time_fri","available_time_sat","available_time_sun","person","correspondence_dept","correspondence_time","open_24hours","foreign_language","related_facilities","options","note","publish","user_id","created_at","updated_at"
"豊見城中央病院",,"19",9010243,"沖縄県","豊見城市","上田25番地",26.1759052,127.6760904,"098-850-3811",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"沖縄メディカル病院","1","1",9011414,"沖縄県","南城市","佐敷字津波古西原2310番地",26.1867561,127.775398,"098-947-3555","098-947-3335","大山　朝賢",,,,"14：00～17：00",,"14：00～17：00",,,"與座基子","地域連携室",,,,"介護老人保健施設「真徳苑」、デイサービス、通所リハビリテーション、訪問看護ステーション、居宅介護支援事業所",,,"1",,"2018-01-04","2018-02-13"
"与那原中央病院",,"19",9011303,"沖縄県","島尻郡与那原町","字与那原2905番地",26.2027822,127.7485544,"098-945-8101",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"嬉野が丘サマリヤ人病院",,"19",9011105,"沖縄県","島尻郡南風原町","新川460番地",26.2103004,127.7281808,"098-889-1328","098-889-0868","山城　義広",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"沖縄県立精和病院",,"19",9011105,"沖縄県","島尻郡南風原町","新川260",26.2072673,127.7277505,"098-889-1390",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"久田病院",,"19",9011101,"沖縄県","島尻郡南風原町","大名275番地",26.2097811,127.7316583,"098-889-3206",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"博愛病院",,"19",9011105,"沖縄県","島尻郡南風原町","新川485-1",26.2113558,127.7280113,"098-889-4830",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"沖縄第一病院","1","1",9011111,"沖縄県","島尻郡南風原町","兼城642-1",26.194913,127.7259764,"098-888-1151",,,,,,,"14：00～17：00",,,,,"訪問看護",,,,"居宅介護支援、介護予防支援、訪問介護、訪問看護、訪問リハビリテーション、デイサービス、デイケア、介護保健施設「信和苑」",,,"1",,"2018-01-04","2018-02-13"
"南部徳洲会病院","1","19",9010493,"沖縄県","島尻郡八重瀬町","字外間171-1",26.1783869,127.7156257,"098-998-3221",,,,"14：00～17：00",,"14：00～17：00","14：00～17：00","14：00～17：00",,,,"受付",,,,"居宅介護支援、介護予防支援、訪問介護、デイサービス、デイケア、訪問リハビリテーション",,,"1",,"2018-01-04","2018-02-13"
"兼島医院",,"20",9010361,"沖縄県","糸満市","糸満１５０５－２",26.1257341,127.6741751,"098-992-4850",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"安里眼科",,"20",9010302,"沖縄県","糸満市","潮平７２２",26.1462685,127.6730413,"098-994-1882","098-992-3131",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"かみや母と子のクリニック",,"20",9010301,"沖縄県","糸満市","阿波根１５５２－２",26.1515875,127.6725996,"098-995-3511","098-995-2877",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"健孝クリニック",,"20",9010302,"沖縄県","糸満市","潮平７１４－２",26.1463212,127.6727358,"098-994-1177","098-994-1055",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"新垣小児科医院",,"20",9010302,"沖縄県","糸満市","潮平７０８－２１",26.1460657,127.6715414,"098-992-4050","098-994-0246",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"くでけん小児科",,"20",9010305,"沖縄県","糸満市","西崎６－１１－８",26.1436158,127.6691277,"098-994-2099","098-994-2099",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"南部整形外科",,"20",9010302,"沖縄県","糸満市","潮平７１４－２",26.1463212,127.6727358,"098-994-1155","098-994-1155","大城　武",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"ひめゆりクリニック",,"20",9010344,"沖縄県","糸満市","伊原１０７－１",26.094737,127.684739,"098-997-3702","098-997-3703","玉城　利昭",,,,,,,,,"當山","事務",,,,,,"今後、訪問診療を行うことを検討中","1",,"2018-01-04","2018-02-13"
"かみやクリニック",,"20",9010301,"沖縄県","糸満市","阿波根１５５２－２",26.1515875,127.6725996,"098-995-3377","098-995-3377",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"耳鼻咽喉科　かおる医院",,"20",9010302,"沖縄県","糸満市","潮平７０５－４",26.1455185,127.6720858,"098-994-1133","098-994-1194",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"てるや眼科クリニック",,"20",9010361,"沖縄県","糸満市","糸満１２６６－１",26.1259201,127.669917,"098-992-0800","098-992-0801",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"ａｍ皮膚科クリニック",,"20",9010302,"沖縄県","糸満市","潮平７８７－５",26.1508209,127.6713274,"098-995-1212","098-995-1713",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"豆の木クリニック",,"20",9010302,"沖縄県","糸満市","潮平７６４－１",26.1493376,127.6716219,"098-995-3030","098-995-3131","吉原　邦男",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"みなみしまクリニック",,"20",9010302,"沖縄県","糸満市","潮平７８７－1７",26.1509708,127.671433,"098-840-3730","098-840-3731",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"たまき耳鼻咽喉科クリニック",,"20",9010362,"沖縄県","糸満市","真栄里１４３２－１",26.1208567,127.6714698,"098-995-3387","098-995-3397","玉城三七夫",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"きのしたこどもクリニック",,"20",9010362,"沖縄県","糸満市","真栄里２０３０－３",26.1213705,127.6698671,"098-995-1100","098-995-1001",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"みんなのクリニック",,"20",9010362,"沖縄県","糸満市","真栄里２０２９－１１",26.1211678,127.6706254,"098-840-3733","098-840-3735",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"よしかわ整形クリニック",,"20",9010362,"沖縄県","糸満市","真栄里２０３１－４",26.1211483,127.670231,"098-995-2525","098-995-2211",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"ハートフルクリニック",,"20",9010311,"沖縄県","糸満市","武富１６９－２",26.1654986,127.6933345,"098-994-7436","098-994-7436","平良　茂",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"いしかわ眼科クリニック",,"20",9010242,"沖縄県","豊見城市","高安３１７－１",26.1752225,127.6861596,"098-851-2200","098-851-2201","石川　晃子",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"かでな内科医院","1","1",9010241,"沖縄県","豊見城市","豊見城７５３－２",26.1830741,127.682473,"098-850-5266","098-840-2524","嘉手納成之",,"午後","午後","午後",,"午後",,,,,,,,,,"かかりつけ患者臨時往診に対応している（電話にて時間調整を行う）","1",,"2018-01-04","2018-02-13"
"垣花整形外科医院",,"20",9010241,"沖縄県","豊見城市","豊見城１００７－３０",26.1891428,127.6810086,"098-850-4160","098-856-2549",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"ながみね小児科",,"20",9010212,"沖縄県","豊見城市","平良１０９－１",26.1687512,127.6938344,"098-856-7300","098-856-7301",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"おなが眼科医院",,"20",9010241,"沖縄県","豊見城市","豊見城４３７－２",26.182424,127.6786954,"098-850-6165","098-850-6165","翁長　春彦",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"とよみクリニック",,"20",9010201,"沖縄県","豊見城市","真玉橋１２３",26.1941345,127.695585,"098-856-5700","098-856-5700",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"豊見城医院",,"20",9010235,"沖縄県","豊見城市","名嘉地１１２－１",26.1773794,127.6654685,"098-850-2050","098-850-1041",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"しいな整形外科",,"20",9010242,"沖縄県","豊見城市","高安３１７－１",26.1752225,127.6861596,"098-850-0417","098-850-4171",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"しろま小児科医院",,"20",9010241,"沖縄県","豊見城市","豊見城２９４－２",26.1841737,127.6760287,"098-856-8811","098-856-8949",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"豊見城中央病院付属豊崎クリニック",,"19",9010225,"沖縄県","豊見城市","豊崎１－４１２",26.1603557,127.6601999,"098-840-5151",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"空と海とクリニック",,"20",9010244,"沖縄県","豊見城市","宜保３７０",26.1787715,127.6759652,"098-840-2000","098-850-8033",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"なかまクリニック",,"20",9010241,"沖縄県","豊見城市","豊見城３７２－１",26.1828627,127.6752955,"098-891-6424",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"なかそね整形外科リハビリクリニック",,"20",9010241,"沖縄県","豊見城市","豊見城４４４－２",26.1829628,127.6774732,"098-851-0255","098-851-0256",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"ゆたか泌尿器科",,"20",9010244,"沖縄県","豊見城市","宜保２８２－３",26.17648,127.674946,"098-851-1145","098-851-0045","山城　豊",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"田仲医院",,"20",9010244,"沖縄県","豊見城市","宜保１９０",26.1776273,127.6777514,"098-850-7474","098-850-6363","田仲　秀明",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"とくとくクリニック",,"20",9010241,"沖縄県","豊見城市","豊見城４４４－２",26.1829628,127.6774732,"098-851-0277","098-851-0278",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"高橋クリニック",,"20",9010224,"沖縄県","豊見城市","与根８－１５",26.1730433,127.6575829,"098-851-1971","098-851-2462",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"上地歯科・耳鼻咽喉科",,"21",9010231,"沖縄県","豊見城市","我那覇４７６－１",26.1766494,127.6745349,"098-850-8787",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"うえず内科クリニック",,"20",9010244,"沖縄県","豊見城市","宜保３１０－１３",26.1781355,127.6758486,"098-891-6688","098-891-6677","上江州良尚",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"豊見城中央病院付属健康管理センター",,"19",9010225,"沖縄県","豊見城市","豊崎３－４９",26.160047,127.6522835,"098-852-2000","098-850-5381",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"渡名喜眼科",,"20",9010235,"沖縄県","豊見城市","名嘉地２２０－４",26.1741269,127.6637854,"098-891-6234","098-891-6235",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"朋友クリニック",,"20",9010243,"沖縄県","豊見城市","上田１－１７",26.1757332,127.6803598,"098-840-2288","098-840-2277",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"松岡医院",,"20",9010213,"沖縄県","豊見城市","字高嶺３９５－５６",26.1672264,127.6967868,"098-850-7977","098-850-0004",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"伊佐内科クリニック",,"20",9010201,"沖縄県","豊見城市","字真玉橋２８５－１　とよみメディカルビル４Ｆ",26.1901351,127.6899957,"098-851-8828","098-851-8282","伊佐　勝憲",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"愛ホームクリニック",,"20",9010243,"沖縄県","豊見城市","字上田５６５",26.1752194,127.6807431,"050-1494-1913",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"とよみ眼科",,"20",9010201,"沖縄県","豊見城市","字真玉橋２８５－１",26.1901653,127.6900359,"098-987-4004","098-987-4084","今泉　綾子",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"さくもと泌尿器科・皮フ科",,"20",9010241,"沖縄県","豊見城市","豊見城５４８－１",26.1800827,127.6809094,"098-851-0022","098-851-0023",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"ぐしこどもクリニック",,"20",9010244,"沖縄県","豊見城市","字宜保２９１",26.1770606,127.675582,"098-850-3102","098-851-9105",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"かかず耳鼻咽喉科クリニック",,"20",9010201,"沖縄県","豊見城市","字真玉橋２８５－１",26.1901653,127.6900359,"098-856-3317","098-856-3322",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"みなみ耳鼻咽喉科医院",,"20",9011206,"沖縄県","南城市","大里仲間１１１２－５",26.1749543,127.7474729,"098-946-7033","098-946-1159","江夏　努",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"沖縄県立南部医療センター・こども医療センター付属久高診療所",,"23",9011501,"沖縄県","南城市","知念字久高２３１－２",26.1560402,127.8873731,"098-948-1319","098-948-1319",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"みなみ野クリニック",,"20",9011208,"沖縄県","南城市","大里字平良２５８４－２",26.1805344,127.7479281,"098-945-8811","098-945-8558","外間康男","http://minamino.clinic.com",,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"大里こどもクリニック",,"20",9011208,"沖縄県","南城市","大里字平良２５４５－１",26.1780929,127.7477366,"098-882-8111","098-882-0077",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"南城眼科",,"20",9010615,"沖縄県","南城市","玉城堀川６９５－１",26.1298723,127.7624813,"098-949-1680","098-949-1681","森山無価","www.nanjoganka.jp",,,,,,,,"河野豊","事務長",,,,,,"今後、訪問診療を行う予定：検討中","1",,"2018-01-04","2018-02-13"
"平田内科医院",,"20",9011204,"沖縄県","南城市","大里稲嶺１９９５",26.1696743,127.7409404,"098-946-8008","098-946-8860",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"ふじた眼科",,"20",9011414,"沖縄県","南城市","佐敷字津波古２４９",26.1838013,127.772748,"098-943-8700","098-943-8701",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"ゆかる医院",,"20",9011505,"沖縄県","南城市","知念字久原６９３　",26.1870005,127.8073383,"098-947-3331","098-947-3338",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"野原整形外科",,"20",9011302,"沖縄県","島尻郡与那原町","上与那原３４１－２",26.200152,127.7518182,"098-946-1010","098-946-1020",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"知念耳鼻咽喉科",,"20",9011302,"沖縄県","島尻郡与那原町","上与那原３３５－１",26.1999381,127.7519154,"098-945-3987","098-945-0437",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"又吉皮フ科",,"20",9011303,"沖縄県","島尻郡与那原町","与那原１０２１",26.207982,127.7579783,"098-944-2525",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"あおぞら小児科",,"20",9011302,"沖縄県","島尻郡与那原町","上与那原３４０－１",26.2003325,127.752107,"098-946-1961",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"ながみね内科",,"20",9011303,"沖縄県","島尻郡与那原町","与那原１１２１",26.2105429,127.7595809,"098-882-0777","098-882-0770",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"まつだクリニック",,"20",9011303,"沖縄県","島尻郡与那原町","与那原３６７８",26.1998717,127.7610675,"098-944-7400",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"よなみね眼科",,"20",9011304,"沖縄県","島尻郡与那原町","東浜９４－１",26.2052295,127.7573452,"098-944-1351","098-944-1348",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"上よなばるクリニック",,"20",9011302,"沖縄県","島尻郡与那原町","字上与那原４６４",26.1995853,127.7478436,"098-917-1078",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"なかだ内科クリニック",,"20",9011304,"沖縄県","島尻郡与那原町","東浜９３－３",26.2049406,127.7587757,"098-944-2211","098-944-2212",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"はえばる耳鼻咽喉科",,"20",9011105,"沖縄県","島尻郡南風原町","新川１６３",26.2032538,127.7272508,"098-888-2233","098-888-2233",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"沖縄県立南部保健所",,"23",9011104,"沖縄県","島尻郡南風原町","宮平２１２",26.1990323,127.7388916,"098-889-6364",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"沖縄県立総合精神保健福祉センター",,"23",9011104,"沖縄県","島尻郡南風原町","宮平２１２",26.1990323,127.7388916,"098-888-1443",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"はえばる皮ふ科医院",,"20",9011111,"沖縄県","島尻郡南風原町","兼城７２５",26.1900359,127.7307818,"098-889-7557","098-889-7877",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"はえばる眼科医院",,"20",9011111,"沖縄県","島尻郡南風原町","兼城７２５",26.1900359,127.7307818,"098-889-7555","098-889-7877",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"のはら小児科医院",,"20",9011111,"沖縄県","島尻郡南風原町","兼城２５８",26.1966213,127.7310675,"098-888-2111","098-888-1439",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"上里整形外科",,"20",9011111,"沖縄県","島尻郡南風原町","兼城４０１",26.1965739,127.7243848,"098-888-2227","098-888-2226",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"一般社団法人沖縄県健康づくり財団付属診療所",,"23",9011104,"沖縄県","島尻郡南風原町","宮平２１２",26.1990323,127.7388916,"098-889-6474","098-889-6463",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"一日橋医院",,"20",9011111,"沖縄県","島尻郡南風原町","兼城４９７－１",26.1968043,127.7193186,"098-889-7387","098-888-4318",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"てるや整形外科",,"20",9011117,"沖縄県","島尻郡南風原町","津嘉山１５９５",26.1838529,127.7126229,"098-888-3636","098-888-4877",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"吉クリニック",,"20",9011114,"沖縄県","島尻郡南風原町","神里４９５",26.172874,127.7276415,"098-888-5552","098-888-5586","吉　晋一郎",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"ウィメンズメンタルクリニックみなみ",,"20",9011105,"沖縄県","島尻郡南風原町","新川５０７－１",26.2132445,127.7279501,"098-889-3739",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"比嘉胃腸科内科",,"20",9011116,"沖縄県","島尻郡南風原町","照屋３６２",26.1856891,127.7273685,"098-882-7000","098-882-7001",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"えびす耳鼻科",,"20",9011103,"沖縄県","島尻郡南風原町","与那覇２８３",26.2004155,127.7388693,"098-987-0033",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"心のクリニックさくら",,"20",9011103,"沖縄県","島尻郡南風原町","与那覇２８３",26.2004155,127.7388693,"098-851-7888","098-851-7555",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"南風内科クリニック",,"20",9011117,"沖縄県","島尻郡南風原町","字津嘉山１４９０　",26.1899215,127.7083896,"098-888-2121","098-888-1414","照屋　諭",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"みやぐに皮フ科",,"20",9011117,"沖縄県","島尻郡南風原町","字津嘉山１４９０　",26.1899215,127.7083896,"098-888-4112","098-888-4113","宮國　均",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"わんぱくクリニック",,"20",9011117,"沖縄県","島尻郡南風原町","字津嘉山１４９０",26.1899215,127.7083896,"098-888-1234","098-888-1211","呉屋　良信",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"つかやま内科",,"20",9011117,"沖縄県","島尻郡南風原町","字津嘉山１６７４",26.1836335,127.7128507,"098-888-6610","098-888-6611","津嘉山朝洋",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"発達・神経クリニックプロップ",,"20",9011105,"沖縄県","島尻郡南風原町","字新川２１５－３",26.2040009,127.7271396,"098-987-1233","098-987-0817","城間　直秀",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"つかざん腎クリニック",,"20",9011117,"沖縄県","島尻郡南風原町","字津嘉山１４９０　メディカルプラザつかざん４Ｆ",26.189832,127.708439,"098-888-3200",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"つかざんクリニック",,"20",9011117,"沖縄県","島尻郡南風原町","字津嘉山１３１５－１",26.1940155,127.7129194,"098-888-6789","098-888-6791",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"空の森クリニック",,"20",9010406,"沖縄県","島尻郡八重瀬町","字屋宜原２２９－１",26.1652968,127.724417,"098-998-0011","098-998-0022",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"東風平第一医院",,"20",9010411,"沖縄県","島尻郡八重瀬町","友寄４２",26.1703381,127.7210339,"098-998-6987","098-998-6978",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"東風平クリニック",,"20",9010405,"沖縄県","島尻郡八重瀬町","伊覇２５４－３　",26.1571278,127.721662,"098-998-6636","098-998-6637",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"中村内科胃腸科",,"20",9010512,"沖縄県","島尻郡八重瀬町","具志１５４－９",26.1236918,127.7486105,"098-840-7778","098-998-0860","中村　博",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"やえせ整形外科",,"20",9010405,"沖縄県","島尻郡八重瀬町","字伊覇２５８－２",26.1579222,127.7220008,"098-851-4888","098-851-8444","新井　弘一",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"沖縄こどもおとなの整形外科",,"20",9010401,"沖縄県","島尻郡八重瀬町","字東風平１２０９",26.1564583,127.7191512,"098-840-7770","098-840-7771","久光淳士郎",,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"やえせ眼科",,"20",9010405,"沖縄県","島尻郡八重瀬町","字伊覇６５－２７",26.1594637,127.7216897,"098-998-1188","098-998-2662",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"耳鼻咽喉科やえせクリニック",,"20",9010405,"沖縄県","島尻郡八重瀬町","字伊覇３０４",26.1619053,127.7237811,"098-998-1212","098-998-1213",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"やえせ子どもクリニック",,"20",9010405,"沖縄県","島尻郡八重瀬町","字伊覇５４－3",26.1592582,127.7213425,"098-998-1234","098-998-1100",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"とよみ生協病院",,"19",9010314,"沖縄県","糸満市","豊見城市字真玉橋593番地の1",26.1930732,127.6873219,"098-850-7955",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"西崎病院",,"19",9010314,"沖縄県","糸満市","字座波371番地1",26.1481162,127.6877378,"098-992-0055",,,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
